Open	High	Low	Close	Adj Close	Volume
101088.6875	101121.15625	101088.6875	101121.15625	101121.15625	0
101205.34375	101211.671875	101205.34375	101211.671875	101211.671875	0
101193.7734375	101193.7734375	101144.90625	101144.90625	101144.90625	0
101135.90625	101236.46875	101135.90625	101236.46875	101236.46875	0
101230.6875	101300.6171875	101230.6875	101300.6171875	101300.6171875	0
101325.8984375	101325.8984375	101291.859375	101291.859375	101291.859375	0
101326.03125	101326.03125	101269.6015625	101269.6015625	101269.6015625	0
101170.0390625	101295.578125	101170.0390625	101295.578125	101295.578125	0
101282.40625	101282.40625	101164.0078125	101164.0078125	101164.0078125	0
101061.8515625	101131.9375	101061.8515625	101131.9375	101131.9375	0
100990.71875	101074.890625	100990.71875	101074.890625	101074.890625	0
100977.4609375	100977.4609375	100822.359375	100822.359375	100822.359375	0
100738.1171875	100749.546875	100738.1171875	100749.546875	100749.546875	0
100650.0234375	100650.0234375	100609.0	100609.0	100609.0	0
100595.9296875	100650.6484375	100595.9296875	100650.6484375	100650.6484375	0
100644.1875	100644.1875	100616.9765625	100616.9765625	100616.9765625	0
100572.46875	100634.84375	100572.46875	100634.84375	100634.84375	0
100586.046875	100605.828125	100586.046875	100605.828125	100605.828125	0
100518.578125	100534.6796875	100518.578125	100534.6796875	100534.6796875	0
100553.4375	100553.4375	100480.9765625	100480.9765625	100480.9765625	0
100570.7265625	100589.203125	100570.7265625	100589.203125	100589.203125	0
100565.28125	100565.28125	100538.3671875	100538.3671875	100538.3671875	0
100510.578125	100510.578125	100413.1015625	100413.1015625	100413.1015625	0
100354.421875	100410.4921875	100354.421875	100410.4921875	100410.4921875	0
100442.890625	100482.296875	100442.890625	100482.296875	100482.296875	0
100420.1484375	100506.8203125	100420.1484375	100506.8203125	100506.8203125	0
100536.8984375	100536.8984375	100509.8125	100509.8125	100509.8125	0
100578.21875	100578.21875	100487.3203125	100487.3203125	100487.3203125	0
100435.4375	100435.4375	100342.0078125	100342.0078125	100342.0078125	0
100407.828125	100407.828125	100343.453125	100343.453125	100343.453125	0
100326.3515625	100328.1796875	100326.3515625	100328.1796875	100328.1796875	0
100354.0234375	100373.71875	100354.0234375	100373.71875	100373.71875	0
100331.03125	100344.890625	100331.03125	100344.890625	100344.890625	0
100319.9609375	100319.9609375	100299.578125	100299.578125	100299.578125	0
100404.3671875	100418.4921875	100404.3671875	100418.4921875	100418.4921875	0
100483.7265625	100490.5390625	100483.7265625	100490.5390625	100490.5390625	0
100432.40625	100432.40625	100382.15625	100382.15625	100382.15625	0
100434.34375	100434.34375	100413.9296875	100413.9296875	100413.9296875	0
100388.8203125	100388.8203125	100348.2265625	100348.2265625	100348.2265625	0
100416.4296875	100424.9921875	100416.4296875	100424.9921875	100424.9921875	0
100484.6484375	100492.4921875	100484.6484375	100492.4921875	100492.4921875	0
100602.7578125	100602.7578125	100572.46875	100572.46875	100572.46875	0
100547.921875	100547.921875	100521.96875	100521.96875	100521.96875	0
100487.5625	100533.5625	100487.5625	100533.5625	100533.5625	0
100505.03125	100565.8203125	100505.03125	100565.8203125	100565.8203125	0
100540.53125	100571.0625	100540.53125	100571.0625	100571.0625	0
100604.28125	100638.3671875	100604.28125	100638.3671875	100638.3671875	0
100672.609375	100747.5390625	100672.609375	100747.5390625	100747.5390625	0
100773.453125	100801.3203125	100773.453125	100801.3203125	100801.3203125	0
100798.546875	100810.96875	100798.546875	100810.96875	100810.96875	0
100848.453125	100849.2265625	100848.453125	100849.2265625	100849.2265625	0
100741.34375	100808.8125	100741.34375	100808.8125	100808.8125	0
100844.6171875	100844.6171875	100843.4296875	100843.4296875	100843.4296875	0
100817.8671875	100822.5078125	100817.8671875	100822.5078125	100822.5078125	0
